,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Salalah,OM,78.8,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
6,Asau,RO,74.32,clear sky,46.4333,26.4,Casa Mika Ciobanus
8,Hilo,US,84.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
14,Rikitea,PF,73.33,light rain,-23.1203,-134.9692,People ThankYou
15,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
19,Maumere,ID,76.33,scattered clouds,-8.6199,122.2111,Sylvia Hotel
20,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
23,Rodrigues Alves,BR,84.18,overcast clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
25,Inongo,CD,76.64,overcast clouds,-1.95,18.2667,Hotel Du Lac
26,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Green leaf
33,Ponta Do Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
36,Valdez,EC,77.07,broken clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
37,Butaritari,KI,80.56,light rain,3.0707,172.7902,Isles Sunset Lodge
43,Wajir,KE,79.18,few clouds,1.7471,40.0573,Mahatallah Hotel
46,Ulcinj,ME,88.02,clear sky,41.9294,19.2244,Hotel Palata Venezia
48,Kavieng,PG,81.45,few clouds,-2.5744,150.7967,Nusa Island Retreat
50,Thompson,CA,88.18,overcast clouds,55.7435,-97.8558,Burntwood Hotel
52,Santo Tomas,PH,77.25,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
53,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
55,Portland,US,72.9,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
60,Kayes,ML,88.61,scattered clouds,14.0,-11.0,
62,Hasaki,JP,73.8,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
64,Yelkhovka,RU,71.73,overcast clouds,53.8667,50.2832,Gostinitsa Mayak
66,Hithadhoo,MV,83.3,few clouds,-0.6,73.0833,Scoop Guest House
69,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Emba,KZ,77.77,clear sky,48.8264,58.1442,
71,Mandera,KE,83.32,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
75,Axim,GH,75.9,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
78,Albany,US,85.42,overcast clouds,42.6001,-73.9662,
79,Invermere,CA,85.42,clear sky,50.5167,-116.0354,Copper Point Resort
80,Jamestown,US,83.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
82,Mizdah,LY,83.71,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
83,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
84,Vila Franca Do Campo,PT,72.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
87,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
89,Ilhabela,BR,79.39,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
90,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
93,San Juan Bautista,PE,75.65,few clouds,-14.0108,-75.7358,Hotel Las Dunas
94,Areia Branca,BR,84.51,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
95,Saint Anthony,US,88.83,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
97,Sibolga,ID,76.21,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
98,Kogon,UZ,84.24,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
99,Rupert,US,89.55,clear sky,42.6191,-113.6772,Uptown Motel
102,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
104,Sao Filipe,CV,75.6,few clouds,14.8961,-24.4956,Hotel Xaguate
108,Umm Lajj,SA,86.83,clear sky,25.0213,37.2685,Moon light Furnished Units
110,Sioux Lookout,CA,84.85,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
111,Los Llanos De Aridane,ES,70.12,few clouds,28.6585,-17.9182,Valle Aridane
113,Anjiang,CN,82.04,overcast clouds,27.3194,110.1031,Dahua Hotel
114,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
118,Frontino,CO,74.53,broken clouds,6.7801,-76.1288,Hotel La Casona
120,Cambridge,CA,87.22,clear sky,43.3601,-80.3127,Cambridge Gateway Suites
123,Bathsheba,BB,79.05,broken clouds,13.2167,-59.5167,Atlantis Hotel
124,Jintur,IN,78.55,overcast clouds,19.6167,76.7,AMOL SALVE SWEET ORANGE FARM
127,Rabo De Peixe,PT,71.11,scattered clouds,37.8,-25.5833,Quinta das Giestas
128,Xuddur,SO,74.37,clear sky,4.1213,43.8894,Banjanay Hotel
129,Szigetvar,HU,77.95,clear sky,46.0486,17.8055,Hotel Kumilla
136,Zhangjiakou,CN,71.76,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
137,Kushima,JP,75.34,overcast clouds,31.4583,131.2333,Hanaoka
139,Matane,CA,71.1,broken clouds,48.8286,-67.52199999999999,Hotel-Motel Belle Plage
141,Faanui,PF,76.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
147,Losinyy,RU,73.15,broken clouds,57.1386,61.0666,
153,Katsuura,JP,74.34,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
154,Qorveh,IR,74.12,clear sky,35.1664,47.8045,بانک مهر ایران
160,Oranjestad,AW,85.95,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
161,Sena Madureira,BR,87.1,overcast clouds,-9.0656,-68.6569,Hotel Central
164,Elat,IL,84.15,clear sky,29.5581,34.9482,Club Hotel Eilat
165,Kijang,KR,75.27,overcast clouds,35.2442,129.2139,Samyang Beach Villa
166,Canavieiras,BR,76.42,clear sky,-15.675,-38.9472,Bahiadomizil
170,Kasongo-Lunda,CD,77.83,few clouds,-6.4667,16.8167,
172,Gamba,GA,70.45,overcast clouds,-2.65,10.0,
173,Pital,CO,84.7,scattered clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
174,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
177,Hami,CN,84.24,overcast clouds,42.8,93.45,Laoyutang Resort
180,Sao Joao Da Barra,BR,74.59,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
181,Shimoda,JP,70.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
182,Donskoye,RU,71.73,overcast clouds,45.4552,41.9741,
183,Lagoa,PT,70.38,clear sky,39.05,-27.9833,Casa Das Faias
184,Rayevskaya,RU,70.72,broken clouds,44.8319,37.5556,Domik V Derevne
185,Petrinja,HR,76.91,scattered clouds,45.4375,16.29,Gostionica Mis
189,Tautira,PF,75.94,broken clouds,-17.7333,-149.15,Pension Oaoa
195,Pantabangan,PH,73.69,light rain,15.8113,121.1443,Dela Merced Lakeview Resort
199,Kashi,CN,78.4,few clouds,39.4547,75.9797,帕米尔青年旅舍
200,Torbay,CA,75.97,scattered clouds,47.6666,-52.7314,Gallows Cove
202,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
203,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
204,Kulhudhuffushi,MV,82.04,scattered clouds,6.6221,73.07,Haajy Guest House 1
210,Boende,CD,72.09,moderate rain,-0.2167,20.8667,
212,Dusti,TJ,86.25,clear sky,37.3481,68.664,Hotel Izzat
214,Cururupu,BR,84.09,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
216,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
218,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
221,Buchanan,LR,76.73,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
222,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
223,Vraca,BA,72.32,clear sky,43.8422,18.3955,Hotel Bosnia
225,Nishihara,JP,83.86,heavy intensity rain,26.1842,127.7558,Minshuku Agaihama
232,Hargeysa,SO,72.68,broken clouds,9.56,44.065,City Center Hotel
233,Zatoka,UA,75.42,overcast clouds,46.0725,30.4654,Sonyachna
234,Santa Isabel,BR,83.5,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
235,Arrecife,ES,75.18,few clouds,28.963,-13.5477,Hotel Lancelot
236,Madang,PG,76.19,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
239,Praia Da Vitoria,PT,74.75,broken clouds,38.7333,-27.0667,Hotel Branco I
240,Saint-Francois,FR,83.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
242,Cordeiropolis,BR,83.97,overcast clouds,-22.4819,-47.4567,La Villa Hotel
244,Banda Aceh,ID,79.23,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
245,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
246,San Fernando,PH,78.53,light rain,15.0286,120.6898,Maharlika Hostel
250,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
252,Nisia Floresta,BR,80.98,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
253,Labuhan,ID,75.94,overcast clouds,-6.8844,112.2051,DoubleFAG
254,Bulungu,CD,86.0,overcast clouds,-4.55,18.6,Maison MC Michel
255,Puerto Madero,MX,89.8,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
