City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,2022-07-16 19:10:16,-33.5906,26.891,67.3,53,0,8.3,clear sky
1,Kodinsk,RU,2022-07-16 19:10:16,58.6881,99.1844,51.82,85,14,1.23,few clouds
2,Huarmey,PE,2022-07-16 19:10:16,-10.0681,-78.1522,66.99,71,5,14.41,clear sky
3,Salalah,OM,2022-07-16 19:09:00,17.0151,54.0924,78.8,90,100,4.68,overcast clouds
4,Olafsvik,IS,2022-07-16 19:10:17,64.8945,-23.7142,50.49,92,100,1.99,light rain
5,Punta Arenas,CL,2022-07-16 19:10:17,-53.15,-70.9167,35.71,80,40,8.05,scattered clouds
6,Asau,RO,2022-07-16 19:10:18,46.4333,26.4,74.32,49,0,6.55,clear sky
7,Pisco,PE,2022-07-16 19:10:18,-13.7,-76.2167,66.02,68,1,13.8,haze
8,Hilo,US,2022-07-16 19:08:40,19.7297,-155.09,84.27,94,100,5.75,moderate rain
9,Saldanha,ZA,2022-07-16 19:10:18,-33.0117,17.9442,62.74,51,50,5.41,scattered clouds
10,Qaanaaq,GL,2022-07-16 19:10:19,77.484,-69.3632,52.27,63,12,4.14,few clouds
11,Grindavik,IS,2022-07-16 19:10:19,63.8424,-22.4338,50.47,93,100,6.91,light rain
12,Hobart,AU,2022-07-16 19:09:55,-42.8794,147.3294,50.25,80,100,12.66,overcast clouds
13,Bredasdorp,ZA,2022-07-16 19:10:20,-34.5322,20.0403,62.19,42,100,5.59,overcast clouds
14,Rikitea,PF,2022-07-16 19:10:20,-23.1203,-134.9692,73.33,75,100,17.07,light rain
15,Avarua,CK,2022-07-16 19:10:20,-21.2078,-159.775,75.25,73,20,17.27,few clouds
16,Taltal,CL,2022-07-16 19:10:20,-25.4,-70.4833,61.66,46,0,6.44,clear sky
17,Norman Wells,CA,2022-07-16 19:10:21,65.282,-126.8329,65.61,50,100,12.3,overcast clouds
18,East London,ZA,2022-07-16 19:08:32,-33.0153,27.9116,66.16,51,0,8.99,clear sky
19,Maumere,ID,2022-07-16 19:10:21,-8.6199,122.2111,76.33,78,49,6.98,scattered clouds
