City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-07-14 14:04:12,19.7297,-155.09,73.62,94,100,4.0
1,Mayor Pablo Lagerenza,PY,2022-07-14 14:04:12,-19.9309,-60.7718,84.67,44,100,19.28
2,Tasiilaq,GL,2022-07-14 14:03:54,65.6145,-37.6368,46.56,69,18,5.97
3,Arraial Do Cabo,BR,2022-07-14 14:04:12,-22.9661,-42.0278,75.06,83,40,11.5
4,Albany,US,2022-07-14 14:03:32,42.6001,-73.9662,73.29,74,10,6.2
5,Ushuaia,AR,2022-07-14 14:03:48,-54.8,-68.3,29.86,80,20,3.44
6,Mar Del Plata,AR,2022-07-14 14:04:13,-38.0023,-57.5575,56.08,90,100,20.0
7,Yellowknife,CA,2022-07-14 14:01:27,62.456,-114.3525,53.8,77,100,7.85
8,Lasa,IT,2022-07-14 14:04:13,46.6166,10.7002,83.7,46,93,3.24
9,Chuy,UY,2022-07-14 14:04:14,-33.6971,-53.4616,58.24,85,84,10.33
10,Pachino,IT,2022-07-14 14:04:14,36.7186,15.0907,78.8,60,2,10.78
11,Alofi,NU,2022-07-14 14:00:49,-19.0595,-169.9187,76.68,75,85,23.06
12,Butaritari,KI,2022-07-14 14:04:14,3.0707,172.7902,81.61,82,41,16.6
13,Warman,CA,2022-07-14 14:02:07,52.3168,-106.5679,64.09,87,94,8.05
14,Aykhal,RU,2022-07-14 14:04:15,66.0,111.5,55.4,61,100,6.64
15,Mataura,NZ,2022-07-14 14:03:57,-46.1927,168.8643,35.47,97,93,1.97
16,Cockburn Town,TC,2022-07-14 14:04:15,21.4612,-71.1419,81.05,78,100,16.24
17,Syava,RU,2022-07-14 14:04:15,58.0146,46.3222,71.42,77,100,4.68
18,Lebu,CL,2022-07-14 14:04:16,-37.6167,-73.65,42.53,84,99,10.78
19,Moshupa,BW,2022-07-14 14:04:16,-24.7782,25.4155,71.94,17,0,8.25
20,Ughelli,NG,2022-07-14 14:04:17,5.4899,6.0074,81.07,77,78,8.19
21,Bluff,NZ,2022-07-14 14:04:17,-46.6,168.3333,35.8,81,100,8.23
22,Rikitea,PF,2022-07-14 14:03:49,-23.1203,-134.9692,67.14,87,100,6.67
23,Kodiak,US,2022-07-14 14:01:31,57.79,-152.4072,53.71,86,100,3.67
24,Airai,TL,2022-07-14 14:04:17,-8.9266,125.4092,55.27,90,57,3.24
25,Guanica,PR,2022-07-14 14:04:18,17.9716,-66.908,88.97,67,83,8.12
26,Jamestown,US,2022-07-14 14:00:29,42.097,-79.2353,70.95,75,0,3.0
27,Puerto Ayora,EC,2022-07-14 14:04:18,-0.7393,-90.3518,73.36,89,96,5.01
28,Esperance,AU,2022-07-14 14:04:18,-33.8667,121.9,58.84,88,100,16.33
29,Santo Domingo,DO,2022-07-14 13:59:42,18.5001,-69.9886,84.04,75,40,5.75
30,Tuktoyaktuk,CA,2022-07-14 14:04:19,69.4541,-133.0374,35.67,92,100,23.31
31,Upernavik,GL,2022-07-14 14:04:19,72.7868,-56.1549,39.15,86,29,13.94
32,Vaini,TO,2022-07-14 14:04:02,-21.2,-175.2,76.93,80,0,18.88
33,New Norfolk,AU,2022-07-14 14:03:50,-42.7826,147.0587,46.92,89,26,2.26
34,Hithadhoo,MV,2022-07-14 14:04:20,-0.6,73.0833,83.7,73,100,14.5
35,Bhopal,IN,2022-07-14 14:01:35,23.2667,77.4,80.83,78,75,8.05
